"popularity","vote_count","video","poster_path","id","adult","backdrop_path","original_language","original_title","title","vote_average","overview","release_date","imdb_id","budget","revenue","runtime","homepage","tagline","genre","production_company","production_country","genres","production_companies","production_countries","keywords"
"334.089","2135","False","/xBHvZcjRiWyobQ9kxBhO6B2dtRI.jpg","419704","False","/5BwqwxMEjeFtdknRV792Svo0K1v.jpg","en","Ad Astra","Ad Astra","6.0","The near future, a time when both hope and hardships drive humanity to look to the stars and beyond. While a mysterious phenomenon menaces to destroy life on planet Earth, astronaut Roy McBride undertakes a mission across the immensity of space and its many perils to uncover the truth about a lost expedition that decades before boldly faced emptiness and silence in search of the unknown.","2019-09-17","tt2935510","87500000.0","127175922.0","123.0","https://www.foxmovies.com/movies/ad-astra","The answers we seek are just outside our reach","Science Fiction","New Regency Productions","Brazil","[{'id': 878, 'name': 'Science Fiction'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}, {'id': 9648, 'name': 'Mystery'}]","[{'id': 490, 'logo_path': None, 'name': 'New Regency Productions', 'origin_country': ''}, {'id': 79963, 'logo_path': None, 'name': 'Keep Your Head', 'origin_country': ''}, {'id': 73492, 'logo_path': None, 'name': 'MadRiver Pictures', 'origin_country': ''}, {'id': 81, 'logo_path': '/8wOfUhA7vwU2gbPjQy7Vv3EiF0o.png', 'name': 'Plan B Entertainment', 'origin_country': 'US'}, {'id': 30666, 'logo_path': '/g8LmDZVFWDRJW72sj0nAj1gh8ac.png', 'name': 'RT Features', 'origin_country': 'BR'}, {'id': 30148, 'logo_path': None, 'name': 'Bona Film Group', 'origin_country': 'CN'}, {'id': 22213, 'logo_path': '/qx9K6bFWJupwde0xQDwOvXkOaL8.png', 'name': 'TSG Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'BR', 'name': 'Brazil'}, {'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'id': 305, 'name': 'moon'}, {'id': 697, 'name': 'loss of loved one'}, {'id': 839, 'name': 'planet mars'}, {'id': 3801, 'name': 'space travel'}, {'id': 14626, 'name': 'astronaut'}, {'id': 157265, 'name': 'moon colony'}, {'id': 162429, 'name': 'solar system'}, {'id': 240119, 'name': 'father son relationship'}, {'id': 244256, 'name': 'near future'}, {'id': 257878, 'name': 'planet neptune'}, {'id': 260089, 'name': 'space walk'}]"
"222.017","1530","False","/iZf0KyrE25z1sage4SYFLCCrMi9.jpg","530915","False","/tJgmraUAmVlJPlq72yC76tKDyC4.jpg","en","1917","1917","8.1","At the height of the First World War, two young British soldiers, Schofield and Blake are given a seemingly impossible mission. In a race against time, they must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers—Blake's own brother among them.","2019-12-10","tt8579674","100000000.0","200483309.0","119.0","https://www.1917.movie/","Time is the enemy","War","Neal Street Productions","United Kingdom","[{'id': 10752, 'name': 'War'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]","[{'id': 1522, 'logo_path': None, 'name': 'Neal Street Productions', 'origin_country': 'GB'}, {'id': 7, 'logo_path': '/vru2SssLX3FPhnKZGtYw00pVIS9.png', 'name': 'DreamWorks Pictures', 'origin_country': 'US'}, {'id': 114732, 'logo_path': '/tNCbisMxO5mX2X2bOQxHHQZVYnT.png', 'name': 'New Republic Pictures', 'origin_country': 'US'}, {'id': 121685, 'logo_path': '/bAO6cpKP9qoqHoDn4oUjWjZ5auq.png', 'name': 'Amblin Partners', 'origin_country': 'US'}]","[{'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'id': 2504, 'name': 'world war i'}, {'id': 4100, 'name': 'british army'}, {'id': 4776, 'name': 'race against time'}, {'id': 13065, 'name': 'soldier'}, {'id': 188725, 'name': 'trenches'}, {'id': 210184, 'name': '1910s'}, {'id': 230915, 'name': 'trench warfare'}, {'id': 250702, 'name': ""no man's land""}]"
"203.046","1089","False","/6ApDtO7xaWAfPqfi2IARXIzj8QS.jpg","359724","False","/n3UanIvmnBlH531pykuzNs4LbH6.jpg","en","Ford v Ferrari","Ford v Ferrari","7.8","American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.","2019-11-13","tt1950186","97600000.0","52437000.0","152.0","https://www.foxmovies.com/movies/ford-v-ferrari","They took the American dream for a ride","Drama","20th Century Fox","France","[{'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}]","[{'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}, {'id': 7076, 'logo_path': '/8BFxn9NUWSgp0ndih569Gm62xiC.png', 'name': 'Chernin Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'id': 818, 'name': 'based on novel or book'}, {'id': 5565, 'name': 'biography'}, {'id': 6075, 'name': 'sport'}, {'id': 10037, 'name': 'le mans'}, {'id': 10039, 'name': 'racing'}, {'id': 14725, 'name': 'racecar driver'}, {'id': 33885, 'name': 'car'}, {'id': 208992, 'name': '1960s'}]"
"197.545","441","False","/y95lQLnuNKdPAzw9F9Ab8kJ80c3.jpg","38700","False","/iUspPEAjhUUrLYKntTnKupt3eqV.jpg","en","Bad Boys for Life","Bad Boys for Life","6.6","Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.","2020-01-15","tt1502397","0.0","0.0","124.0","https://www.badboysforlife.movie/","Ride together. Die together.","Thriller","Columbia Pictures","United States of America","[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]","[{'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}, {'id': 34, 'logo_path': '/GagSvqWlyPdkFHMfQ3pNq6ix9P.png', 'name': 'Sony Pictures', 'origin_country': 'US'}, {'id': 130, 'logo_path': '/c9dVHPOL3cqCr2593Ahk0nEKTEM.png', 'name': 'Jerry Bruckheimer Films', 'origin_country': 'US'}, {'id': 2481, 'logo_path': '/nVEP2IHCDOBOldgDL4SSufitN9.png', 'name': 'Platinum Dunes', 'origin_country': 'US'}, {'id': 84792, 'logo_path': None, 'name': '2.0 Entertainment', 'origin_country': 'US'}, {'id': 10288, 'logo_path': None, 'name': 'Don Simpson/Jerry Bruckheimer Films', 'origin_country': ''}, {'id': 907, 'logo_path': '/ca5SWI5uvU985f8Kbb4xc8AmVWH.png', 'name': 'Overbrook Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'id': 703, 'name': 'detective'}, {'id': 9663, 'name': 'sequel'}, {'id': 15090, 'name': 'police officer'}, {'id': 15167, 'name': 'police detective'}, {'id': 167541, 'name': 'buddy comedy'}, {'id': 219404, 'name': 'action hero'}, {'id': 236175, 'name': 'part of trilogy'}, {'id': 260311, 'name': 'third part'}]"
"156.031","8511","False","/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg","475557","False","/n6bUvigpRFqSwmPp1m2YADdbRBc.jpg","en","Joker","Joker","8.3","During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.","2019-10-02","tt7286456","55000000.0","1060753468.0","122.0","http://www.jokermovie.net/","Put on a happy face.","Crime","DC Entertainment","Canada","[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]","[{'id': 9993, 'logo_path': '/2Tc1P3Ac8M479naPp1kYT3izLS5.png', 'name': 'DC Entertainment', 'origin_country': 'US'}, {'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 429, 'logo_path': '/2Tc1P3Ac8M479naPp1kYT3izLS5.png', 'name': 'DC Comics', 'origin_country': 'US'}, {'id': 83036, 'logo_path': None, 'name': 'Joint Effort', 'origin_country': 'US'}, {'id': 79, 'logo_path': '/tpFpsqbleCzEE2p5EgvUq6ozfCA.png', 'name': 'Village Roadshow Pictures', 'origin_country': 'US'}, {'id': 13240, 'logo_path': '/aTc07YaNHo8WNgkQSnvLmG6w4nW.png', 'name': 'Bron Studios', 'origin_country': 'CA'}, {'id': 53152, 'logo_path': '/shr6ZcOMI3WFQo1q6J4E4yk0PZe.png', 'name': 'Creative Wealth Media Finance', 'origin_country': 'CA'}, {'id': 128064, 'logo_path': None, 'name': 'DC Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'id': 542, 'name': 'street gang'}, {'id': 849, 'name': 'dc comics'}, {'id': 3199, 'name': 'clown'}, {'id': 3289, 'name': 'villain'}, {'id': 9537, 'name': 'joker'}, {'id': 9717, 'name': 'based on comic'}, {'id': 9826, 'name': 'murder'}, {'id': 18023, 'name': 'criminal mastermind'}, {'id': 33731, 'name': 'stand-up comedian'}, {'id': 41329, 'name': 'mental illness'}, {'id': 41665, 'name': 'anarchy'}, {'id': 177489, 'name': 'subway train'}, {'id': 196003, 'name': 'tv host'}, {'id': 208289, 'name': '1980s'}, {'id': 240237, 'name': 'mother son relationship'}, {'id': 242214, 'name': 'origin story'}, {'id': 246695, 'name': 'brutal violence'}, {'id': 258270, 'name': 'gotham city'}]"
"108.617","852","False","/p69QzIBbN06aTYqRRiCOY1emNBh.jpg","501170","False","/sZAXOoOMyCbBskmqR0f4LShxXtw.jpg","en","Doctor Sleep","Doctor Sleep","7.1","Still irrevocably scarred by the trauma he endured as a child at the Overlook, Dan Torrance has fought to find some semblance of peace. But that peace is shattered when he encounters Abra, a courageous teenager with her own powerful extrasensory gift, known as the 'shine'."" Instinctively recognising that Dan shares her power, Abra has sought him out, desperate for his help against the merciless Rose the Hat and her followers.","2019-10-30","tt5606664","45000000.0","70209589.0","152.0","http://www.doctorsleepmovie.net/","Dare to go back","Horror","Warner Bros. Pictures","United States of America","[{'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]","[{'id': 174, 'logo_path': '/IuAlhI9eVC9Z8UQWOIDdWRKSEJ.png', 'name': 'Warner Bros. Pictures', 'origin_country': 'US'}, {'id': 829, 'logo_path': '/mzpAmEQ5P1gFvdRoNyCk9q8ngiv.png', 'name': 'Vertigo Entertainment', 'origin_country': 'US'}, {'id': 1224, 'logo_path': None, 'name': 'Intrepid Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'id': 818, 'name': 'based on novel or book'}, {'id': 6152, 'name': 'supernatural'}, {'id': 9663, 'name': 'sequel'}, {'id': 9815, 'name': 'psychic power'}, {'id': 194508, 'name': 'the shining'}]"
"35.972","3578","False","/s5HQf2Gb3lIO2cRcFwNL9sn1o1o.jpg","335988","False","/1n00NlOGRFZVs8coBxyZLm5l4EC.jpg","en","Transformers: The Last Knight","Transformers: The Last Knight","6.0","Autobots and Decepticons are at war, with humans on the sidelines. Optimus Prime is gone. The key to saving our future lies buried in the secrets of the past, in the hidden history of Transformers on Earth.","2017-06-16","tt3371366","217000000.0","605425157.0","149.0","http://www.transformersmovie.com/","For one world to live, the other must die.","Action","Tom DeSanto/Don Murphy Production","Canada","[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 12, 'name': 'Adventure'}]","[{'id': 38831, 'logo_path': None, 'name': 'Tom DeSanto/Don Murphy Production', 'origin_country': ''}, {'id': 38833, 'logo_path': None, 'name': 'Ian Bryce Productions', 'origin_country': ''}, {'id': 83645, 'logo_path': None, 'name': 'Huahua Media', 'origin_country': 'CN'}, {'id': 435, 'logo_path': '/AjzK0s2w1GtLfR4hqCjVSYi0Sr8.png', 'name': 'Di Bonaventura Pictures', 'origin_country': 'US'}, {'id': 90738, 'logo_path': None, 'name': 'Paramount Pictures (Canada)', 'origin_country': 'CA'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'id': 392, 'name': 'england'}, {'id': 10466, 'name': 'knight'}, {'id': 10542, 'name': 'based on toy'}, {'id': 10607, 'name': 'transformers'}, {'id': 14544, 'name': 'robot'}]"
"127.045","216","False","/yJdeWaVXa2se9agI6B4mQunVYkB.jpg","449924","False","/ekP6EVxL81lZ4ivcqPsoZ72rY0h.jpg","cn","葉問4","Ip Man 4: The Finale","5.9","Following the death of his wife, Ip Man travels to San Francisco to ease tensions between the local kung fu masters and his star student, Bruce Lee, while searching for a better future for his son.","2019-12-20","tt2076298","52000000.0","0.0","105.0","","","Action","","Hong Kong","[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]","[]","[{'iso_3166_1': 'HK', 'name': 'Hong Kong'}]","[]"
"127.136","1216","False","/vqzNJRH4YyquRiWxCCOH0aXggHI.jpg","290859","False","/riTANvQ8GKmQbgtC1ps3OfkU43A.jpg","en","Terminator: Dark Fate","Terminator: Dark Fate","6.2","Decades after Sarah Connor prevented Judgment Day, a lethal new Terminator is sent to eliminate the future leader of the resistance. In a fight to save mankind, battle-hardened Sarah Connor teams up with an unexpected ally and an enhanced super soldier to stop the deadliest Terminator yet.","2019-10-23","tt6450804","185000000.0","233685077.0","128.0","https://www.paramountmovies.com/movies/terminator-dark-fate","Welcome to the day after judgement day","Action","Lightstorm Entertainment","China","[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]","[{'id': 574, 'logo_path': '/iB6GjNVHs5hOqcEYt2rcjBqIjki.png', 'name': 'Lightstorm Entertainment', 'origin_country': 'US'}, {'id': 82819, 'logo_path': '/5Z8WWr0Lf1tInVWwJsxPP0uMz9a.png', 'name': 'Skydance Media', 'origin_country': 'US'}, {'id': 25, 'logo_path': '/qZCc1lty5FzX30aOCVRBLzaVmcp.png', 'name': '20th Century Fox', 'origin_country': 'US'}, {'id': 4, 'logo_path': '/fycMZt242LVjagMByZOLUGbCvv3.png', 'name': 'Paramount', 'origin_country': 'US'}, {'id': 81620, 'logo_path': '/gNp4dfuBOXmVWdGKb63NfbFNbFi.png', 'name': 'Tencent Pictures', 'origin_country': 'CN'}, {'id': 22213, 'logo_path': '/qx9K6bFWJupwde0xQDwOvXkOaL8.png', 'name': 'TSG Entertainment', 'origin_country': 'US'}]","[{'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'id': 310, 'name': 'artificial intelligence'}, {'id': 679, 'name': 'cyborg'}, {'id': 4379, 'name': 'time travel'}, {'id': 4565, 'name': 'dystopia'}]"
"92.851","2748","False","/db32LaOibwEliAmSL2jjDF6oDdj.jpg","181812","False","/jOzrELAzFxtMx2I4uDGHOotdfsS.jpg","en","Star Wars: The Rise of Skywalker","Star Wars: The Rise of Skywalker","6.5","The surviving Resistance faces the First Order once again as the journey of Rey, Finn and Poe Dameron continues. With the power and knowledge of generations behind them, the final battle begins.","2019-12-18","tt2527338","250000000.0","956030690.0","142.0","https://www.starwars.com/films/star-wars-episode-ix-the-rise-of-skywalker","Every generation has a legend","Action","Lucasfilm","United States of America","[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]","[{'id': 1, 'logo_path': '/o86DbpburjxrqAzEDhXZcyE8pDb.png', 'name': 'Lucasfilm', 'origin_country': 'US'}, {'id': 11461, 'logo_path': '/p9FoEt5shEKRWRKVIlvFaEmRnun.png', 'name': 'Bad Robot', 'origin_country': 'US'}, {'id': 2, 'logo_path': '/wdrCwmRnLFJhEoH8GSfymY85KHT.png', 'name': 'Walt Disney Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]","[{'id': 161176, 'name': 'space opera'}]"
